ID,upstreamDB,upstream,lifecycle,projectName,element,location,material,height,length,width,area,volume,mass,epicMaterial,epicUnit,epicEmbodiedEnergy,epicEmbodiedWater,embodiedEmission,density,embodiedEnergy,embodiedWater,embodiedEmission,manuDate,manuPlace,installDate,removalDate,owner,value,connection,remarks,modifiedDate
1009,1,1000,2,Triangular Pavillion,truss,truss walls lower south,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1010,1,1000,2,Triangular Pavillion,truss,truss walls lower north,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1011,1,1000,2,Triangular Pavillion,truss,truss walls lower west,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1012,1,1000,2,Triangular Pavillion,truss,truss walls upper south,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1013,1,1000,2,Triangular Pavillion,truss,truss walls upper north,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1014,1,1000,2,Triangular Pavillion,truss,truss walls upper west,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1015,1,1000,2,Triangular Pavillion,truss,truss ramp south,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1016,1,1000,2,Triangular Pavillion,truss,truss ramp north,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1017,1,1000,2,Triangular Pavillion,truss,truss ramp west,wood,,,,,0.10285,,Softwood kiln-dried,m3,9704,13181,583,510,998,1356,60,,Zurich,2023,,ETH Zurich,,,,21.06.2023
1018,,,1,Triangular Pavillion,steel foundation,steel foundation - corner south (1),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1030,,21.06.2023
1019,,,1,Triangular Pavillion,steel foundation,steel foundation (2),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1031,,21.06.2023
1020,,,1,Triangular Pavillion,steel foundation,steel foundation (3),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1032,,21.06.2023
1021,,,1,Triangular Pavillion,steel foundation,steel foundation - corner north (1),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1033,,21.06.2023
1022,,,1,Triangular Pavillion,steel foundation,steel foundation (5),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1034,,21.06.2023
1023,,,1,Triangular Pavillion,steel foundation,steel foundation (6),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1035,,21.06.2023
1024,,,1,Triangular Pavillion,steel foundation,steel foundation - corner west (1),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1036,,21.06.2023
1025,,,1,Triangular Pavillion,steel foundation,steel foundation (8),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1037,,21.06.2023
1026,,,1,Triangular Pavillion,steel foundation,steel foundation (9),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1038,,21.06.2023
1027,,,1,Triangular Pavillion,steel foundation,internal steel foundation - east (10),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1039,,21.06.2023
1028,,,1,Triangular Pavillion,steel foundation,internal steel foundation - west (11),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1040,,21.06.2023
1029,,,1,Triangular Pavillion,steel foundation,internal steel foundation - south(12),steel,,,0.008,2.5415,,0.020332,Hot rolled galvanised structural steel,kg,43,43.2,3.3,7850,109,110,8,,,2023,,ETH Zurich,,1041,,21.06.2023
1030,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation - corner south (1),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1018,,21.06.2023
1031,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (2),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1019,,21.06.2023
1032,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (3),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1020,,21.06.2023
1033,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation - corner north (1),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1021,,21.06.2023
1034,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (5),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1022,,21.06.2023
1035,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (6),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1023,,21.06.2023
1036,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation - corner west (1),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1024,,21.06.2023
1037,1,1000,2,Triangular Pavillion,wooden stud on foundation,wooden stud on foundation (8),wood,,,,0.0144,0,,Softwood kiln-dried,m3,9704,13181,583,510,0,0,0,,,2023,,ETH Zurich,,1025,,21.06.2023
